Wall time,Step,Value
1743903219.352815,2048,68.85713958740234
1743903320.5602074,4096,80.18000030517578
1743903425.1887307,6144,83.5753402709961
1743903531.5498807,8192,83.41836547851562
1743903632.0449908,10240,87.16000366210938
1743903730.662974,12288,91.86000061035156
1743903821.6179543,14336,96.66999816894531
1743903931.5075257,16384,98.58000183105469
1743904025.7231584,18432,106.13999938964844
1743904123.4368596,20480,112.66999816894531
1743904220.2174551,22528,118.81999969482422
1743904315.711938,24576,124.2300033569336
1743904406.8231714,26624,132.91000366210938
1743904498.7936249,28672,138.60000610351562
1743904586.7366457,30720,150.1199951171875
1743904667.2125778,32768,163.72999572753906
1743904743.0783353,34816,169.8300018310547
1743904807.3383465,36864,184.41000366210938
1743904876.5138977,38912,195.75
1743904945.7415586,40960,208.75
1743905015.232102,43008,220.52999877929688
1743905081.4428654,45056,234.66000366210938
1743905148.3123536,47104,245.19000244140625
1743905217.967116,49152,258.05999755859375
1743905283.4647613,51200,270.30999755859375
1743905354.448866,53248,282.17999267578125
1743905419.2891712,55296,294.6099853515625
1743905483.6708596,57344,304.8399963378906
1743905551.8654652,59392,317.3599853515625
1743905631.1328676,61440,327.6700134277344
1743905710.2050514,63488,338.5299987792969
1743905798.2746274,65536,338.2900085449219
1743905880.3822145,67584,347.04998779296875
1743905960.6604908,69632,347.8900146484375
1743906044.2259333,71680,348.69000244140625
1743906122.286774,73728,349.7200012207031
1743906213.2083716,75776,331.6000061035156
1743906295.3734624,77824,325.1600036621094
1743906382.4850094,79872,307.4100036621094
1743906461.9407084,81920,302.7200012207031
1743906546.7395682,83968,283.8599853515625
1743906613.2794166,86016,267.8500061035156
1743906683.292128,88064,264.19000244140625
1743906750.6506195,90112,262.2300109863281
1743906816.5881557,92160,264.9800109863281
1743906885.704326,94208,264.1199951171875
1743906946.842101,96256,266.010009765625
1743907014.9323943,98304,262.6000061035156
1743907080.275367,100352,263.3399963378906
1743907147.6305995,102400,270.760009765625
1743907215.1500597,104448,279.2900085449219
1743907281.451692,106496,281.8999938964844
1743907363.6357005,108544,288.7799987792969
1743907454.7668855,110592,288.3599853515625
1743907541.4291232,112640,296.3999938964844
1743907632.7971354,114688,297.3500061035156
1743907728.0500512,116736,298.6099853515625
1743907821.1291335,118784,303.42999267578125
1743907918.0241132,120832,298.54998779296875
1743908012.7868207,122880,296.94000244140625
1743908108.0688214,124928,298.82000732421875
1743908205.7480257,126976,290.7699890136719
1743908298.6052253,129024,290.0
1743908398.0310328,131072,285.4100036621094
1743908490.5834064,133120,286.0299987792969
1743908579.8067248,135168,285.1300048828125
1743908669.3814871,137216,285.94000244140625
1743908760.3808627,139264,289.1199951171875
1743908851.055869,141312,298.1099853515625
1743908942.4564278,143360,300.6499938964844
1743909036.6952784,145408,301.2300109863281
1743909121.3654137,147456,305.9700012207031
1743909189.5046103,149504,307.54998779296875
1743909276.4220347,151552,310.67999267578125
1743909369.8948839,153600,309.9100036621094
1743909465.645153,155648,306.4599914550781
1743909567.658803,157696,306.55999755859375
1743909661.3204205,159744,302.32000732421875
1743909753.2184753,161792,307.4599914550781
1743909846.1243913,163840,308.8999938964844
1743909936.6039143,165888,306.8399963378906
1743910012.1705422,167936,311.0899963378906
1743910087.8000338,169984,310.1700134277344
1743910171.1365173,172032,302.25
1743910261.243583,174080,300.9200134277344
1743910361.3439784,176128,291.67999267578125
1743910461.0039625,178176,277.19000244140625
1743910567.2441113,180224,274.989990234375
1743910667.4512908,182272,278.8599853515625
1743910764.7507818,184320,280.20001220703125
1743910866.2846894,186368,280.1099853515625
1743910948.926744,188416,284.010009765625
1743911046.3138616,190464,274.6700134277344
1743911139.1245878,192512,280.6400146484375
1743911241.714264,194560,278.7300109863281
1743911343.532633,196608,271.7799987792969
1743911440.4439094,198656,273.7099914550781
1743911535.377854,200704,275.6600036621094
1743911628.2516277,202752,274.2200012207031
1743911693.014972,204800,280.82000732421875
1743911765.221989,206848,288.55999755859375
1743911836.6582272,208896,296.6400146484375
1743911907.6142514,210944,303.739990234375
1743911977.034927,212992,308.6600036621094
1743912045.9074962,215040,317.3599853515625
1743912112.5958304,217088,323.1700134277344
1743912182.0249093,219136,328.45001220703125
1743912249.4458659,221184,326.82000732421875
1743912307.456241,223232,337.75
1743912379.9331152,225280,343.94000244140625
1743912439.7736964,227328,347.2799987792969
1743912499.5774612,229376,350.989990234375
